VehicleDragData.csv contains vehicle drag forces (measured in N)
for vehicle velocities (measured in km/h) from 15 to 150 km/h in steps of 5 km/h.
Five separate measurements were made at each step.
Velocity,Force
15,5.79575387441757
15,6.02755862225848
15,6.04076161425513
15,6.21839504395711
15,6.55331742856967
20,10.1328127622385
20,10.7337553685938
20,10.9176587212993
20,11.0657797980297
20,11.1840235856056
25,17.0266896206871
25,17.0414096707935
25,17.3733260299917
25,17.7684037389903
25,18.6512366477264
30,23.9205583214569
30,23.9638086833578
30,24.413681507053
30,24.640349831488
30,24.7488574773633
35,32.3077894570842
35,32.6547439565022
35,34.2431511773539
35,34.8058435621818
35,35.2208107088263
40,43.2774993546656
40,43.5467183619398
40,43.9880206767637
40,44.5869167899017
40,48.1151189586466
45,54.5468851448592
45,55.7034012688043
45,56.4832622870041
45,57.208474271818
45,57.2907412235899
50,66.8106092281121
50,67.2664088944094
50,68.2365875658508
50,70.7844382238127
50,71.3014261913131
55,80.7051235007671
55,82.0404597119443
55,82.9592252091692
55,84.8213013256858
55,86.2057971889909
60,95.7124591102783
60,97.9826268519753
60,103.066165252318
60,104.402569821021
60,108.616011542495
65,114.031562313091
65,120.741045287635
65,120.75832215931
65,121.731143253638
65,125.170866310542
70,125.790560087668
70,128.260266764751
70,130.467962836919
70,130.658670172274
70,134.234676292309
75,152.302253571794
75,155.103009914203
75,157.852067856943
75,158.788037933412
75,161.315757484162
80,171.207959700403
80,175.756403903538
80,177.878484385494
80,178.17960978868
80,190.138194910753
85,193.187499956736
85,194.311081459449
85,197.208307991564
85,202.249253713221
85,204.669013945187
90,220.411265152476
90,229.362696271489
90,233.735340462724
90,233.992915200181
90,235.900876175999
95,231.561532724474
95,233.36938472106
95,243.751618733742
95,255.313467295672
95,258.458473303008
100,261.684857067948
100,280.148358310754
100,284.026371557421
100,291.850567637383
100,295.053640287147
105,296.702082687413
105,298.4647083357
105,308.747401575136
105,312.16461132889
105,322.202701046138
110,329.369721712524
110,336.884700615577
110,343.872792999487
110,347.897865899226
110,379.729754178835
115,354.395967277172
115,355.50954486581
115,358.999454883965
115,380.516972421177
115,391.420479675762
120,389.237704665724
120,390.469454625999
120,395.169825178571
120,407.896468153647
120,413.428641456789
125,418.050239607002
125,418.781033660934
125,442.21385875322
125,444.987153185465
125,471.514154168857
130,435.163148381096
130,445.593564389059
130,488.998981449083
130,497.278136814232
130,500.286109187921
135,489.493491486554
135,516.795833296184
135,528.946704606358
135,530.170164750548
135,530.627589882585
140,509.349178322929
140,539.008166514242
140,539.340433864991
140,570.824698123403
140,571.739739648272
145,529.98126331433
145,571.582089408359
145,572.83159868926
145,603.789294812437
145,611.46445354825
150,606.71728515268
150,608.539663035741
150,627.22503249894
150,628.150300935242
150,648.882632532109
